n_train,err,xent
128,0.7421948359528782,3.097675041421424
256,0.6010138250625989,2.4180547803655714
512,0.4389653890066139,1.753977041369474
1024,0.3310703734632072,1.3786125606738835
2048,0.22676586934682014,0.869446829012552
4096,0.157836401646931,0.6079453511433902
8192,0.1081096700367175,0.4212132187800716
10000,0.09486185948793872,0.3679061535063672
16384,0.0688571636562471,0.2650371622474626
20000,0.06149568189024025,0.2352415022953992
30000,0.05014171720653459,0.19269061274572807
32768,0.04670062675748558,0.17987884059981038
40000,0.042607109440588535,0.16411166144047157
50000,0.03612176179163773,0.13786125606738867
