topx,topy,botx,boty,midx,midy
1670929.234160072,10.856,629675.7930143302,10.764363636363637,965044.7698412221,10.856
2613476.1612472287,10.856,984866.7679721417,10.621818181818181,2509334.1607174035,10.824
4087700.1286298777,10.856,1540415.8162291243,10.477818181818183,3545429.665032422,10.824
6393512.437330421,10.856,2409342.018692186,10.332363636363636,6935209.784234253,10.792
10000000,10.856,3768416.8793111625,10.184000000000001,10415018.462507429,10.792
15640854.847817313,10.847272727272728,5507899.650129399,10.058666666666667,36988332.54329527,10.525333333333334
24463634.037049133,10.831272727272728,9218917.143450703,9.893090909090908,47853278.77322801,10.4
38263214.90236086,10.814545454545454,14419174.489476735,9.708363636363636,87176082.9225394,9.6712
59846939.02986689,10.784872727272727,22552821.52152564,9.384,104680924.54077522,9.283999999999999
93605728.64523207,10.71369696969697,33868918.14899287,9.033777777777779,125063403.31134969,8.884
146407361.46642557,10.505963636363637,45946417.61365392,8.68,142009657.7627728,8.504000000000001
215686960.3925217,10.126222222222221,57462153.567281015,8.36,160434591.6596478,8.173333333333332
279200450.55707645,9.628,69000477.65247494,8.016,184972926.5346545,7.804
317032476.17622083,9.250666666666667,81188080.51289675,7.676,211107329.15282786,7.448
358165611.12445897,8.882666666666667,95528388.23184837,7.312,248395365.06465936,7.088
404635533.05136,8.461333333333332,114710361.65831783,6.9424,326850223.1986608,6.588
466524195.0264848,8.008,146407361.46642557,6.5840000000000005,398512089.64297765,6.288
610761938.2784504,7.541090909090909,194618097.5835095,6.241142857142857,876203243.5204818,5.396
807764510.2838081,7.032,248395365.06465936,5.921600000000001,1237984570.0928924,5.0600000000000005
1118317501.0315707,6.682909090909091,304399341.506203,5.5664,1821736883.1853285,4.700363636363637
1749144170.7408583,6.540363636363637,365522324.8191374,5.172000000000001,2849352216.0816965,4.483636363636364
2735811008.246366,6.490909090909091,430084789.93641996,4.76,4456630442.204041,4.409454545454546
4279042287.104214,6.4603636363636365,516445244.2933654,4.4016,6970550985.687757,4.3759999999999994
6692787930.026951,6.454545454545455,645883998.7528968,4.0373333333333346,10902537617.645208,4.342545454545455
10468092454.077522,6.4443636363636365,876203243.5204818,3.6933333333333334,17052500835.045738,4.311999999999999
16372991460.775892,6.453090909090909,1315846707.1782076,3.4189090909090893,26671569035.32339,4.29309090909091
25608758286.254807,6.454545454545455,2058096734.8952715,3.194909090909091,41716613984.503365,4.271272727272729
40054287118.81519,6.450181818181818,3219039229.326382,3.0087272727272723,65248350407.4043,4.246545454545455
62648329085.81871,6.4487272727272735,5034852533.532365,2.8865454545454536,102053997778.17323,4.242181818181818
97987342168.95819,6.442909090909091,7874939765.714529,2.780363636363637,130253765447.17197,4.231999999999999
127632202836.67316,6.44,12317078981.084543,2.7090909090909108,20791259.29579767,10.696
,,19264964449.224487,2.6305454545454534,64260931.981254056,10.120000000000001
,,30132051259.868225,2.5869090909090904,595435106.8783573,5.8
,,47129104002.25897,2.5359999999999996,,
,,73713947480.70215,2.482181818181818,,
,,110700634564.9547,2.4524444444444455,,
