n_train,res_err,bayes_err
368.62727087925987,0.7532623589166211,0.011
463.36466691184086,0.6558958175264576,0.011
517.7909860638791,0.35241201436623937,0.011
597.3327342731191,0.1842471342122889,0.011
681.8524905673503,0.1348013985307372,0.011
977.8909539680949,0.1223442857282999,0.011
1149.5010920543382,0.10172014783924056,0.011
1628.760579410425,0.08075296298944214,0.011
2331.9322037762176,0.07248928232978481,0.011
2715.766292157828,0.06319068495902407,0.011
4803.423330042185,0.054825202327970245,0.011
7078.1423623566925,0.041994148028422364,0.011
10463.033759645354,0.034411914501897185,0.011
11416.834507507863,0.024444347939011256,0.011
16721.1986879608,0.01911664566663584,0.011
24945.20012078288,0.013626095894798951,0.011
40461.46932798995,0.012349344181842947,0.011
64821.174004682216,0.010848619517604073,0.011
109685.67214746994,0.008839793549995334,0.011
179770.34861145527,0.009753811104996108,0.011
298852.9927131945,0.008953248647489826,0.011
498088.1790754627,0.009303307248897084,0.011
3899.350249186415,0.05696024148184653,0.011
6434.187054795636,0.04699841618171158,0.011
8079.006764486838,0.0373161563292508,0.011
