n_train,errp
200,79.28676721119719
286.2958908426867,79.99999999999999
400,77.53138095254756
600,70.57324986885565
800,65.40052992475287
1000,58.47433775470479
1195.6328554737138,50.21663560367563
1396.607030753482,42.17030307438206
1593.7828519674588,32.52502999908817
2854.0763513602187,20.87846291696066
4080.0103853668793,15.959534857422259
7137.995146386749,11.254817284522048
8337.822234717883,10.130699907210575
10204.034770855627,8.564766310879357
12200.279230431175,7.033175204272035
19825.925426580954,5.5225667361808375
24835.575267045235,4.606627809163243
29809.793965647277,4.514734888637997
