n_classes,C,max_iter,seed,n_train,acc,xent,name,err
10,0.01,10000,0,1,0.1,inf,cifar,0.9
10,0.01,10000,0,1,0.1,inf,gaussian,0.9
10,0.01,10000,0,1,0.1005,inf,noisy,0.8995
10,0.01,10000,0,1,0.1,inf,DS_GMM_6,0.9
10,0.01,10000,0,2,0.1,inf,cifar,0.9
10,0.01,10000,0,2,0.1911,inf,gaussian,0.8089
10,0.01,10000,0,2,0.1446,inf,noisy,0.8553999999999999
10,0.01,10000,0,2,0.168,inf,DS_GMM_6,0.832
10,0.01,10000,0,3,0.2762,inf,cifar,0.7238
10,0.01,10000,0,3,0.2348,inf,gaussian,0.7652
10,0.01,10000,0,3,0.2065,inf,noisy,0.7935
10,0.01,10000,0,3,0.2607,inf,DS_GMM_6,0.7393000000000001
10,0.01,10000,0,4,0.2225,inf,cifar,0.7775
10,0.01,10000,0,4,0.3348,inf,gaussian,0.6652
10,0.01,10000,0,4,0.3195,inf,noisy,0.6805
10,0.01,10000,0,4,0.3414,inf,DS_GMM_6,0.6586000000000001
10,0.01,10000,0,5,0.3369,inf,cifar,0.6631
10,0.01,10000,0,5,0.283,inf,gaussian,0.7170000000000001
10,0.01,10000,0,5,0.2358,inf,noisy,0.7642
10,0.01,10000,0,5,0.2151,inf,DS_GMM_6,0.7848999999999999
10,0.01,10000,0,6,0.1936,inf,cifar,0.8064
10,0.01,10000,0,6,0.3006,inf,gaussian,0.6994
10,0.01,10000,0,6,0.4674,inf,noisy,0.5326
10,0.01,10000,0,6,0.2874,inf,DS_GMM_6,0.7126
10,0.01,10000,0,7,0.3221,inf,cifar,0.6779
10,0.01,10000,0,7,0.3206,inf,gaussian,0.6794
10,0.01,10000,0,7,0.3675,inf,noisy,0.6325000000000001
10,0.01,10000,0,7,0.2973,inf,DS_GMM_6,0.7027
10,0.01,10000,0,8,0.3088,inf,cifar,0.6912
10,0.01,10000,0,8,0.3474,inf,gaussian,0.6526000000000001
10,0.01,10000,0,8,0.3243,inf,noisy,0.6757
10,0.01,10000,0,8,0.4604,inf,DS_GMM_6,0.5396000000000001
10,0.01,10000,0,9,0.4245,inf,cifar,0.5755
10,0.01,10000,0,9,0.4341,inf,gaussian,0.5659000000000001
10,0.01,10000,0,9,0.4442,inf,noisy,0.5558000000000001
10,0.01,10000,0,9,0.3692,inf,DS_GMM_6,0.6308
10,0.01,10000,0,10,0.4323,inf,cifar,0.5677
10,0.01,10000,0,10,0.4821,inf,gaussian,0.5179
10,0.01,10000,0,10,0.5177,inf,noisy,0.48229999999999995
10,0.01,10000,0,10,0.3277,inf,DS_GMM_6,0.6723
10,0.01,10000,0,11,0.3736,inf,cifar,0.6264000000000001
10,0.01,10000,0,11,0.5451,inf,gaussian,0.45489999999999997
10,0.01,10000,0,11,0.5728,inf,noisy,0.4272
10,0.01,10000,0,11,0.3507,inf,DS_GMM_6,0.6493
10,0.01,10000,0,12,0.2378,inf,cifar,0.7622
10,0.01,10000,0,12,0.3704,inf,gaussian,0.6295999999999999
10,0.01,10000,0,12,0.3232,inf,noisy,0.6768000000000001
10,0.01,10000,0,12,0.4281,inf,DS_GMM_6,0.5719000000000001
10,0.01,10000,0,13,0.489,inf,cifar,0.511
10,0.01,10000,0,13,0.3501,inf,gaussian,0.6498999999999999
10,0.01,10000,0,13,0.4239,inf,noisy,0.5761000000000001
10,0.01,10000,0,13,0.4286,inf,DS_GMM_6,0.5714
10,0.01,10000,0,14,0.3109,inf,cifar,0.6891
10,0.01,10000,0,14,0.4429,inf,gaussian,0.5570999999999999
10,0.01,10000,0,14,0.5115,inf,noisy,0.48850000000000005
10,0.01,10000,0,14,0.5502,inf,DS_GMM_6,0.4498
10,0.01,10000,0,15,0.2609,inf,cifar,0.7391
10,0.01,10000,0,15,0.5101,inf,gaussian,0.4899
10,0.01,10000,0,15,0.474,inf,noisy,0.526
10,0.01,10000,0,15,0.4185,inf,DS_GMM_6,0.5815
10,0.01,10000,0,32,0.733,8.161304410266846,cifar,0.267
10,0.01,10000,0,32,0.7586,inf,gaussian,0.24139999999999995
10,0.01,10000,0,32,0.7541,8.987537867192206,noisy,0.2459
10,0.01,10000,0,32,0.6691,15.883062776190217,DS_GMM_6,0.33089999999999997
10,0.01,10000,0,64,0.8907,5.008344752249698,cifar,0.10929999999999995
10,0.01,10000,0,64,0.9112,2.351006710028207,gaussian,0.08879999999999999
10,0.01,10000,0,64,0.9127,4.545521273445708,noisy,0.08730000000000004
10,0.01,10000,0,64,0.9258,1.3850357240876696,DS_GMM_6,0.07420000000000004
10,0.01,10000,0,100,0.9364,1.9754404085522457,cifar,0.06359999999999999
10,0.01,10000,0,100,0.9395,1.988959773779329,gaussian,0.0605
10,0.01,10000,0,100,0.9417,0.24481907721806634,noisy,0.05830000000000002
10,0.01,10000,0,100,0.9653,0.7546033433459235,DS_GMM_6,0.03469999999999995
10,0.01,10000,0,500,0.9694,2.389803996668788,cifar,0.03059999999999996
10,0.01,10000,0,500,0.9973,0.06111435641086351,gaussian,0.0027000000000000357
10,0.01,10000,0,500,0.9609,5.243558569165449,noisy,0.039100000000000024
10,0.01,10000,0,500,0.9905,0.26540887087889303,DS_GMM_6,0.009499999999999953
10,0.01,10000,0,1000,0.9726,0.12777122125676632,cifar,0.02739999999999998
10,0.01,10000,0,1000,0.9972,0.06145684133695972,gaussian,0.0028000000000000247
10,0.01,10000,0,1000,0.9651,0.19749513247676706,noisy,0.03490000000000004
10,0.01,10000,0,1000,0.9916,0.4300810822506616,DS_GMM_6,0.008399999999999963
10,0.01,10000,0,5000,0.9769,0.10525640791365565,cifar,0.02310000000000001
10,0.01,10000,0,5000,0.9988,0.08290465006254072,gaussian,0.0011999999999999789
10,0.01,10000,0,5000,0.9689,0.1800711147539322,noisy,0.031100000000000017
10,0.01,10000,0,5000,0.9951,inf,DS_GMM_6,0.0049000000000000155
10,0.01,10000,0,10000,0.9773,0.09271399748194738,cifar,0.022700000000000053
10,0.01,10000,0,10000,0.9988,0.08012799490112422,gaussian,0.0011999999999999789
10,0.01,10000,0,10000,0.9712,0.15291688137120663,noisy,0.028800000000000048
10,0.01,10000,0,10000,0.9961,0.028834587460309438,DS_GMM_6,0.0039000000000000146
10,0.01,10000,0,50000,0.9802,0.0710526329715397,cifar,0.01980000000000004
10,0.01,10000,0,50000,0.9995,0.002618231629735757,gaussian,0.0004999999999999449
10,0.01,10000,0,50000,0.9729,0.12909357604860366,noisy,0.027100000000000013
10,0.01,10000,0,50000,0.9969,0.013067225436626865,DS_GMM_6,0.0030999999999999917
